//NbLocations
89
//NbProducts
74
//K: NbBoxesTrolley
8
//NbDimensionsCapacity
1
//B: CapaBox 
40
//A box can accept mixed orders(0: no, 1: yes)
1
//Products
//Idx Location Volume
1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 1
16 16 1
17 16 1
18 17 1
19 1 1
20 18 1
21 19 1
22 20 1
23 21 1
24 22 1
25 23 1
26 24 1
27 25 1
28 26 1
29 27 1
30 28 1
31 14 1
32 2 1
33 29 1
34 30 1
35 20 1
36 31 1
37 25 1
38 32 1
39 2 1
40 33 1
41 34 1
42 35 1
43 36 1
44 37 1
45 38 1
46 39 1
47 40 1
48 41 1
49 15 1
50 42 1
51 43 1
52 44 1
53 45 1
54 46 1
55 47 1
56 48 1
57 49 1
58 50 1
59 51 1
60 52 1
61 53 1
62 54 1
63 10 1
64 55 1
65 36 1
66 56 1
67 57 1
68 58 1
69 59 1
70 60 1
71 61 1
72 62 1
73 63 1
74 64 1
//Orders
//Nb Orders
7
//Idx M NbProdInOrder ProdIdx1 Qty1 ProdIdx2 Qty2 ...
1 2 18 1 4 2 3 3 3 4 5 5 4 6 5 7 3 8 4 9 3 10 3 11 4 12 4 13 4 14 2 15 5 16 3 17 2 18 2 
2 1 11 19 4 20 4 21 4 22 4 23 3 24 3 25 3 26 3 27 4 28 3 29 4 
3 1 11 30 4 31 4 32 4 33 4 34 4 35 3 36 4 37 2 38 4 39 2 40 4 
4 1 11 41 3 42 3 43 2 44 3 45 4 46 3 47 4 48 3 49 3 50 4 51 3 
5 1 8 52 4 53 3 54 2 55 3 56 4 57 5 58 3 59 3 
6 1 8 60 2 61 4 62 3 63 4 64 2 65 2 66 2 67 3 
7 1 7 68 1 69 2 70 1 71 2 72 1 73 2 74 1 
//Graph (Products are vertices indexed from 1 to NbLocations)
//NbVerticesIntersections
24
//DepartingDepot
0
//ArrivalDepot
89
//Arcs
//Start End Distance
0 65 2.5
89 65 2.5
0 68 5.59
89 68 5.59
0 71 10.31
89 71 10.31
0 74 15.21
89 74 15.21
0 77 20.16
89 77 20.16
0 80 25.12
89 80 25.12
0 83 30.1
89 83 30.1
0 86 35.09
89 86 35.09
1 36 1.0
1 73 8.0
2 37 2.0
2 51 3.0
3 8 1.0
3 66 13.0
4 9 3.0
4 47 1.0
5 16 4.0
5 36 3.0
6 87 15.0
6 88 4.0
7 39 4.0
7 59 2.0
8 3 1.0
8 65 6.0
9 4 3.0
9 23 6.0
10 30 5.0
10 75 2.0
11 32 1.0
11 80 2.0
12 21 3.0
12 79 2.0
13 26 1.0
13 32 3.0
14 17 1.0
14 57 1.0
15 51 3.0
15 84 4.0
16 5 4.0
16 62 1.0
17 14 1.0
17 41 4.0
18 24 11.0
18 84 4.0
19 22 1.0
19 37 2.0
20 43 1.0
20 45 6.0
21 12 3.0
21 39 1.0
22 19 1.0
22 31 1.0
23 9 6.0
23 69 4.0
24 18 11.0
24 85 4.0
25 27 6.0
25 38 3.0
26 13 1.0
26 40 10.0
27 25 6.0
27 87 6.0
28 33 4.0
28 35 1.0
29 41 2.0
29 82 6.0
30 10 5.0
30 76 12.0
31 22 1.0
31 46 2.0
32 11 1.0
32 13 3.0
33 28 4.0
33 72 6.0
34 35 1.0
34 71 8.0
35 28 1.0
35 34 1.0
36 1 1.0
36 5 3.0
37 2 2.0
37 19 2.0
38 25 3.0
38 86 5.0
39 7 4.0
39 21 1.0
40 26 10.0
40 81 3.0
41 17 4.0
41 29 2.0
42 60 5.0
42 69 6.0
43 20 1.0
43 44 2.0
44 43 2.0
44 75 8.0
45 20 6.0
45 53 1.0
46 31 2.0
46 83 2.0
47 4 1.0
47 48 1.0
48 47 1.0
48 61 1.0
49 55 6.0
49 67 3.0
50 61 1.0
50 70 2.0
51 2 3.0
51 15 3.0
52 55 1.0
52 64 3.0
53 45 1.0
53 74 2.0
54 57 3.0
54 81 2.0
55 49 6.0
55 52 1.0
56 77 8.0
56 78 12.0
57 14 1.0
57 54 3.0
58 63 3.0
58 78 3.0
59 7 2.0
59 63 1.0
60 42 5.0
60 68 9.0
61 48 1.0
61 50 1.0
62 16 1.0
62 72 2.0
63 58 3.0
63 59 1.0
64 52 3.0
64 66 6.0
65 0 2.5
65 89 2.5
65 8 6.0
65 68 5.0
66 3 13.0
66 64 6.0
66 69 5.0
67 49 3.0
67 70 5.0
68 0 5.59
68 89 5.59
68 60 9.0
68 65 5.0
68 71 5.0
69 23 4.0
69 42 6.0
69 66 5.0
69 72 5.0
70 50 2.0
70 67 5.0
70 73 5.0
71 0 10.31
71 89 10.31
71 34 8.0
71 68 5.0
71 74 5.0
72 33 6.0
72 62 2.0
72 69 5.0
72 75 5.0
73 1 8.0
73 70 5.0
